Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
108.4803,111.955,86.08537,8707.729,300.4283,4.546104,27.26242,48.21955,55.87 yds,74.43307,9.993497,1.977541,107.047,0,LW,74.4049,4.655337,-3.912564,5.085881,-0.4305434,0.9399708,36.24034,40.37916,0,-0.5101534,0.01247934,0
97.33175,100.9354,80.0693,9492.777,498.379,-0.7603459,22.20387,40.24556,44.36 yds,49.61491,0.5789258,3.011294,96.50748,0,LW,74.13609,-0.8184574,-7.76094,-1.066945,0.2484873,3.263736,31.84778,39.54622,0,-1.051397,-0.3201946,0
120.441,124.8533,92.56995,8090.634,-387.0345,-3.725754,25.17725,47.47195,68.66 yds,79.50105,-10.17598,-2.741883,118.6928,0,LW,76.43742,-1.259234,-7.768679,-3.799595,2.540361,1.981476,32.87531,40.59125,0,0.188206,-0.05580254,0
102.8496,106.1222,83.31459,10065.18,880.6328,0.7722246,23.29959,43.10802,49.69 yds,58.17766,4.913156,5.019539,101.7053,0,LW,75.39705,0.7815286,-9.469686,5.129838,-4.34831,-0.2292636,30.54917,39.89917,0,0.01573728,-0.2329297,0
105.4243,108.8164,84.96756,9867.688,1583.737,-2.52869,22.15093,42.26757,52.26 yds,56.88788,2.113148,9.240844,104.1729,0,LW,76.84053,-1.971744,-7.078471,2.767587,-4.739331,1.379319,27.26988,34.34801,0,0.007519933,-0.6096863,0
103.6811,107.7794,83.86791,10101.61,1300.552,-1.839313,24.07239,44.36093,12.64 yds,61.23993,2.04403,7.397303,102.4806,0,LW,77.4399,-2.429465,-9.003778,2.208368,-4.637833,2.84569,30.53675,39.50032,0,0.1554728,-0.2837557,0
113.7862,117.5747,90.55293,9585.452,533.2963,-2.190087,27.97331,50.4153,9.19 ft,85.85934,-1.480681,3.189359,112.0932,0,LW,78.92574,-1.149505,-5.529427,1.256562,-2.406067,2.768241,35.9029,41.42081,0,0.1511165,-0.2988675,0
106.1221,109.7442,85.95072,11249.87,1386.003,-0.5535921,24.2185,46.361,11.6 yds,66.13046,4.549895,7.077481,104.6792,0,LW,79.56902,-2.213797,-9.488501,4.158453,-6.37225,-1.88492,33.51623,42.92891,0,-0.1720981,-0.06648185,0
108.8498,113.133,86.81763,8944.995,660.0705,-0.4543299,28.2664,49.4166,22.72 ft,78.96526,2.47072,4.23184,107.337,0,LW,78.76333,-1.136474,-4.558965,1.343742,-2.480216,0.1852835,35.53408,40.09289,0,-0.5504749,-0.005892295,0
111.4075,115.4947,88.70555,9134.732,66.1727,0.02903936,28.46971,49.97489,14.2 ft,83.56327,0.4000142,0.4149588,109.6818,0,GW,79.06341,0.02234043,-6.041915,0.8894529,-0.8671125,-0.9901071,35.83206,41.84066,0,-0.6706519,0.1741952,0
113.3097,117.4883,90.22222,8944.713,86.9922,1.886922,29.44938,51.54654,15.59 ft,89.67793,4.151521,0.5574291,111.5272,0,GW,79.65839,2.024685,-6.553351,1.34191,0.6827754,-0.06715275,39.54576,46.09471,0,0.07510911,0.2211972,0
104.1884,112.5215,80.94497,4342.437,-882.7943,-5.679815,26.09052,41.78967,20.61 yds,57.63967,-16.71914,-11.83954,103.381,0,GW,71.68367,-1.448083,-0.5798991,-8.147819,6.699736,-0.1788112,31.43884,32.04814,0,-1.039178,0.2876484,0
116.4505,119.7626,91.96287,9154.284,61.33126,-1.6442,28.17907,50.81348,9.35 ft,89.25884,-2.941079,0.3835945,114.602,0,GW,79.55992,0.2981617,-8.77481,0.5587928,-0.2606312,0.3454641,37.69113,46.36565,0,-0.1649776,0.4594106,0
106.8814,111.0015,85.78293,10047.98,1269.707,0.2907394,24.62542,46.0392,11.39 yds,66.20281,6.103703,7.259555,105.584,0,GW,78.39211,-0.681659,-8.454772,2.310345,-2.992004,0.9862519,32.42526,40.79464,0,0.09142561,-0.1513652,0
118.4115,123.2637,91.85297,8321.697,354.7946,-5.42685,26.59752,49.08915,29.21 ft,83.15116,-8.864986,2.443765,116.6689,0,GW,78.82564,-4.292836,-8.653561,-4.520588,0.2277522,0.5364379,34.57334,43.32096,0,0.3666863,-0.1732085,0
108.0174,112.0208,86.81022,9436.368,599.7723,-0.8204908,28.62835,49.7573,24.96 ft,80.36951,1.361594,3.644219,106.5035,0,GW,77.19611,0.4301329,-5.102249,0.9225726,-0.4924397,1.396894,35.06792,40.1521,0,-0.003306075,-0.21935,0
115.7578,119.3524,91.19117,8479.841,-208.2484,-0.8111206,29.07177,51.04236,9.36 ft,90.21102,-2.849617,-1.408199,114.0227,0,GW,76.97252,1.336452,-3.301007,-0.8550332,2.191485,-0.151467,33.09029,36.4078,0,-0.04534448,-0.09362397,0
110.7394,114.8538,88.6955,9162.547,683.1609,1.911626,29.39398,51.17544,28.25 ft,86.34534,7.174602,4.276038,109.0572,0,GW,77.9875,1.393586,-6.364336,2.537151,-1.143566,-0.07237055,40.26086,46.60398,0,0.112923,-0.08306856,0
116.4606,120.7485,91.95882,8711.305,-141.3223,-2.137058,29.1848,51.76141,16.21 ft,92.33559,-5.109049,-0.9295697,114.6473,0,GW,78.69828,-0.1672212,-2.627782,-0.273918,0.1066968,-0.08852235,40.20974,42.83503,0,0.01927819,-0.0833277,0
113.8918,118.3628,90.04145,8581.435,-676.606,-3.513186,28.94515,50.51331,11.57 yds,87.32092,-10.71226,-4.530169,112.1389,0,GW,77.46004,-0.1566277,-3.05098,-2.680979,2.524352,0.1723786,37.95058,40.99749,0,-0.5249447,-0.1627242,0
109.6185,113.7206,87.47973,9389.065,723.5031,1.2172,27.54161,49.1589,27.23 ft,78.23367,5.850662,4.420624,108.0243,0,GW,79.16102,-1.57218,-5.782609,1.769732,-3.341912,2.073516,36.22386,42.00312,0,-0.6145889,-0.1410394,0
111.2772,115.5753,87.9773,9103.063,395.9146,-1.50906,26.30268,47.54522,14.17 ft,75.18839,-0.8634391,2.495204,109.707,0,GW,76.38267,-1.870444,-7.605429,0.3740424,-2.244486,-0.48664,32.06434,39.64385,0,-0.5541377,-0.1567252,0
105.894,110.7374,84.06657,8225.167,333.5716,-1.143745,27.1614,46.68795,28.44 ft,70.13446,-0.4286252,2.325994,104.5051,0,GW,75.01136,0.2143927,-0.1920135,-0.04223851,0.2566312,2.937528,32.23905,32.43169,0,-0.60835,-0.5728061,0
110.9697,115.0944,88.33925,9294.69,444.5609,-0.08853856,27.8013,49.84433,16.77 ft,80.75678,2.093266,2.741597,109.4011,0,GW,78.1711,-0.4987733,-5.68718,1.537662,-2.036435,-1.218601,33.43516,39.09739,0,-0.5453542,-0.07283165,0
